Geographic Area,CITY POPULATION
"Bellmawr borough,   New Jersey","11,846"
"Belmar borough,   New Jersey","5,846"
"Belvidere,  New Jersey","2,545"
"Bergenfield borough,   New Jersey","28,921"
"Berlin borough,   New Jersey","7,614"
"Bernardsville borough,   New Jersey","8,020"
"Beverly,  New Jersey","2,543"
"Bloomingdale borough,   New Jersey","7,795"
"Bloomsbury borough,   New Jersey",802
"Bogota borough,   New Jersey","9,799"
"Boonton,  New Jersey","8,894"
"Borden,  New Jersey","4,068"
"Bound Brook borough,   New Jersey","12,643"
"Bradley Beach borough,   New Jersey","4,140"
"Branchville borough,   New Jersey",810
"Bridgeton,  New Jersey","27,722"
"Brielle borough,   New Jersey","4,938"
"Brigantine,  New Jersey","7,697"
"Brooklawn borough,   New Jersey","1,831"
"Buena borough,   New Jersey","4,555"
"Burlington,  New Jersey","10,143"
"Butler borough,   New Jersey","8,196"
"Caldwell borough,   New Jersey","9,326"
"Califon borough,   New Jersey","1,018"
"Camden,  New Jersey","71,749"
"Cape May,  New Jersey","2,742"
"Cape May Point borough,   New Jersey",297
"Carlstadt borough,   New Jersey","6,454"
"Carteret borough,   New Jersey","26,003"
"Chatham borough,   New Jersey","10,062"
"Chesilhurst borough,   New Jersey","1,558"
"Chester borough,   New Jersey","1,695"
"Clayton borough,   New Jersey","9,016"
"Clementon borough,   New Jersey","5,600"
"Cliffside Park borough,   New Jersey","26,183"
"Clifton,  New Jersey","90,322"
"Clinton,  New Jersey","2,793"
"Closter borough,   New Jersey","8,730"
"Collingswood borough,   New Jersey","14,344"
"Corbin ,  New Jersey",486
"Cresskill borough,   New Jersey","9,311"
"Deal borough,   New Jersey",891
"Demarest borough,   New Jersey","4,941"
"Dover,  New Jersey","18,909"
"Dumont borough,   New Jersey","18,606"
"Dunellen borough,   New Jersey","8,411"
"East Newark borough,   New Jersey","2,539"
"East Orange,  New Jersey","71,850"
"East Rutherford borough,   New Jersey","10,624"
"Eaton borough,   New Jersey","13,582"
"Edgewater borough,   New Jersey","15,116"
"Egg Harbor ,  New Jersey","4,442"
"Elizabeth,  New Jersey","140,413"
"Elmer borough,   New Jersey","1,377"
"Elmwood Park borough,   New Jersey","21,680"
"Emerson borough,   New Jersey","7,413"
"Englewood,  New Jersey","30,221"
"Englewood Cliffs borough,   New Jersey","5,443"
"English borough,   New Jersey","2,343"
"Essex Fells borough,   New Jersey","2,220"
"Estell Manor,  New Jersey","1,699"
"Fair Haven borough,   New Jersey","6,114"
"Fair Lawn borough,   New Jersey","36,489"
"Fairview borough,   New Jersey","15,606"
"Fanwood borough,   New Jersey","7,968"
"Far Hills borough,   New Jersey",935
"Farmingdale borough,   New Jersey","1,495"
"Fieldsboro borough,   New Jersey",547
"Flemington borough,   New Jersey","4,905"
"Florham Park borough,   New Jersey","14,533"
"Folsom borough,   New Jersey","1,840"
"Fort Lee borough,   New Jersey","40,566"
"Franklin borough,   New Jersey","5,059"
"Franklin Lakes borough,   New Jersey","11,251"
"Freehold borough,   New Jersey","12,530"
"French borough,   New Jersey","1,495"
"Garfield,  New Jersey","33,530"
"Garwood borough,   New Jersey","5,346"
"Gibbsboro borough,   New Jersey","2,264"
"Glassboro borough,   New Jersey","24,322"
"Glen Gardner borough,   New Jersey","1,691"
"Glen Ridge borough,   New Jersey","8,204"
"Glen Rock borough,   New Jersey","12,346"
"Gloucester ,  New Jersey","11,618"
"Guttenberg,  New Jersey","11,945"
"Hackensack,  New Jersey","46,630"
"Hacketts,  New Jersey","10,182"
"Haddonfield borough,   New Jersey","12,707"
"Haddon Heights borough,   New Jersey","7,588"
"Haledon borough,   New Jersey","9,063"
"Hamburg borough,   New Jersey","3,351"
"Hammonton,  New Jersey","15,036"
"Hampton borough,   New Jersey","1,449"
"Harrington Park borough,   New Jersey","5,088"
"Harrison,  New Jersey","22,182"
"Harvey Cedars borough,   New Jersey",402
"Hasbrouck Heights borough,   New Jersey","12,253"
"Haworth borough,   New Jersey","3,450"
"Hawthorne borough,   New Jersey","20,006"
"Helmetta borough,   New Jersey","2,504"
"High Bridge borough,   New Jersey","3,607"
"Highland Park borough,   New Jersey","15,386"
"Highlands borough,   New Jersey","4,337"
"Hights borough,   New Jersey","5,978"
"Hillsdale borough,   New Jersey","10,266"
"Hi-Nella borough,   New Jersey",938
"Hoboken,  New Jersey","59,149"
"Ho-Ho-Kus borough,   New Jersey","4,342"
"Hopatcong borough,   New Jersey","14,750"
"Hopewell borough,   New Jersey","1,938"
"Interlaken borough,   New Jersey",823
"Island Heights borough,   New Jersey","1,715"
"Jamesburg borough,   New Jersey","5,869"
"Jersey ,  New Jersey","302,824"
"Keansburg borough,   New Jersey","9,689"
"Kearny,  New Jersey","40,866"
"Kenilworth borough,   New Jersey","8,527"
"Keyport borough,   New Jersey","7,182"
"Kinnelon borough,   New Jersey","10,108"
"Lake Como borough,   New Jersey","1,672"
"Lakehurst borough,   New Jersey","2,713"
"Lambertville,  New Jersey","4,197"
"Laurel Springs borough,   New Jersey","2,003"
"Lavallette borough,   New Jersey","1,854"
"Lawnside borough,   New Jersey","3,333"
"Lebanon borough,   New Jersey","1,675"
"Leonia borough,   New Jersey","9,492"
"Lincoln Park borough,   New Jersey","11,030"
"Linden,  New Jersey","45,393"
"Lindenwold borough,   New Jersey","21,919"
"Linwood,  New Jersey","7,072"
"Little Ferry borough,   New Jersey","11,137"
"Little Silver borough,   New Jersey","6,101"
"Loch Arbour village,   New Jersey",227
"Lodi borough,   New Jersey","26,358"
"Long Branch,  New Jersey","33,214"
"Longport borough,   New Jersey",884
"Madison borough,   New Jersey","16,555"
"Magnolia borough,   New Jersey","4,396"
"Manasquan borough,   New Jersey","5,925"
"Mantoloking borough,   New Jersey",340
"Manville borough,   New Jersey","11,031"
"Margate ,  New Jersey","5,239"
"Matawan borough,   New Jersey","9,739"
"Maywood borough,   New Jersey","10,221"
"Medford Lakes borough,   New Jersey","4,347"
"Mendham borough,   New Jersey","5,000"
"Merchantville borough,   New Jersey","4,226"
"Metuchen borough,   New Jersey","15,470"
"Middlesex borough,   New Jersey","14,874"
"Midland Park borough,   New Jersey","7,104"
"Milford borough,   New Jersey","1,226"
"Millstone borough,   New Jersey",455
"Mill borough,   New Jersey","7,170"
"Millville,  New Jersey","27,838"
"Monmouth Beach borough,   New Jersey","3,218"
"Montvale borough,   New Jersey","9,663"
"Moonachie borough,   New Jersey","3,168"
"Morris Plains borough,   New Jersey","6,590"
"Morris,  New Jersey","20,732"
"Mountain Lakes borough,   New Jersey","4,644"
"Mountainside borough,   New Jersey","7,228"
"Mount Arlington borough,   New Jersey","5,979"
"Mount Ephraim borough,   New Jersey","4,700"
"National Park borough,   New Jersey","3,085"
"Neptune  borough,   New Jersey","4,599"
"Netcong borough,   New Jersey","3,925"
"Newark,  New Jersey","317,303"
"New Brunswick,  New Jersey","57,487"
"Newfield borough,   New Jersey","1,812"
"New Milford borough,   New Jersey","17,229"
"New Providence borough,   New Jersey","13,957"
"Newton,  New Jersey","8,435"
"North Arlington borough,   New Jersey","16,694"
"North Caldwell borough,   New Jersey","6,769"
"Northfield,  New Jersey","8,527"
"North Haledon borough,   New Jersey","8,854"
"North Plainfield borough,   New Jersey","23,072"
"Northvale borough,   New Jersey","4,979"
"North Wildwood,  New Jersey","3,555"
"Norwood borough,   New Jersey","5,854"
"Oakland borough,   New Jersey","12,926"
"Oaklyn borough,   New Jersey","3,979"
"Ocean ,  New Jersey","11,219"
"Ocean Gate borough,   New Jersey","1,987"
"Oceanport borough,   New Jersey","6,383"
"Ogdensburg borough,   New Jersey","2,310"
"Old Tappan borough,   New Jersey","6,342"
"Oradell borough,   New Jersey","8,344"
"Palisades Park borough,   New Jersey","20,520"
"Palmyra borough,   New Jersey","7,587"
"Paramus borough,   New Jersey","26,786"
"Park Ridge borough,   New Jersey","9,634"
"Passaic,  New Jersey","70,722"
"Paterson,  New Jersey","160,463"
"Paulsboro borough,   New Jersey","6,316"
"Peapack and Gladstone borough,   New Jersey","2,602"
"Pemberton borough,   New Jersey","1,392"
"Pennington borough,   New Jersey","2,906"
"Penns Grove borough,   New Jersey","4,921"
"Perth Amboy,  New Jersey","56,939"
"Phillipsburg,  New Jersey","15,393"
"Pine Beach borough,   New Jersey","2,214"
"Pine Hill borough,   New Jersey","10,894"
"Pitman borough,   New Jersey","8,943"
"Plainfield,  New Jersey","56,507"
"Pleasantville,  New Jersey","20,924"
"Point Pleasant borough,   New Jersey","19,565"
"Point Pleasant Beach borough,   New Jersey","4,941"
"Pompton Lakes borough,   New Jersey","11,156"
"Port Republic,  New Jersey","1,131"
"Princeton,   New Jersey","31,445"
"Prospect Park borough,   New Jersey","6,382"
"Rahway,  New Jersey","30,763"
"Ramsey borough,   New Jersey","15,003"
"Raritan borough,   New Jersey","8,584"
"Red Bank borough,   New Jersey","12,830"
"Ridgefield borough,   New Jersey","11,666"
"Ridgefield Park village,   New Jersey","13,400"
"Ridgewood village,   New Jersey","26,701"
"Ringwood borough,   New Jersey","11,762"
"Riverdale borough,   New Jersey","4,142"
"River Edge borough,   New Jersey","12,235"
"Riverton borough,   New Jersey","2,816"
"Rockaway borough,   New Jersey","6,651"
"Rockleigh borough,   New Jersey",406
"Rocky Hill borough,   New Jersey",755
"Roosevelt borough,   New Jersey",802
"Roseland borough,   New Jersey","6,370"
"Roselle borough,   New Jersey","23,064"
"Roselle Park borough,   New Jersey","14,390"
"Rumson borough,   New Jersey","7,191"
"Runnemede borough,   New Jersey","8,425"
"Rutherford borough,   New Jersey","19,214"
"Saddle River borough,   New Jersey","3,443"
"Salem,  New Jersey","5,369"
"Sayreville borough,   New Jersey","47,165"
"Sea Bright borough,   New Jersey","1,445"
"Sea Girt borough,   New Jersey","1,874"
"Sea Isle ,  New Jersey","2,122"
"Seaside Heights borough,   New Jersey","2,522"
"Seaside Park borough,   New Jersey","2,058"
"Secaucus,  New Jersey","22,710"
"Shiloh borough,   New Jersey",453
"Ship Bottom borough,   New Jersey","1,125"
"Shrewsbury borough,   New Jersey","4,167"
"Somerdale borough,   New Jersey","5,712"
"Somers Point,  New Jersey","10,611"
"Somerville borough,   New Jersey","14,428"
"South Amboy,  New Jersey","10,549"
"South Bound Brook borough,   New Jersey","4,965"
"South Plainfield borough,   New Jersey","25,062"
"South River borough,   New Jersey","16,392"
"South Toms River borough,   New Jersey","3,756"
"Spotswood borough,   New Jersey","8,306"
"Spring Lake borough,   New Jersey","2,781"
"Spring Lake Heights borough,   New Jersey","4,859"
"Stanhope borough,   New Jersey","3,599"
"Stockton borough,   New Jersey",499
"Stone Harbor borough,   New Jersey",784
"Stratford borough,   New Jersey","7,185"
"Summit,  New Jersey","23,102"
"Surf  borough,   New Jersey","1,298"
"Sussex borough,   New Jersey","2,072"
"Swedesboro borough,   New Jersey","2,766"
"Tavistock borough,   New Jersey",2
"Tenafly borough,   New Jersey","15,455"
"Teterboro borough,   New Jersey",71
"Tinton Falls borough,   New Jersey","19,435"
"Totowa borough,   New Jersey","11,064"
"Trenton,  New Jersey","91,193"
"Tuckerton borough,   New Jersey","3,701"
"Union Beach borough,   New Jersey","5,691"
"Union ,  New Jersey","66,918"
"Upper Saddle River borough,   New Jersey","8,696"
"Ventnor ,  New Jersey","9,372"
"Victory Gardens borough,   New Jersey","1,596"
"Vineland,  New Jersey","62,070"
"Waldwick borough,   New Jersey","10,308"
"Wallington borough,   New Jersey","12,060"
"Wanaque borough,   New Jersey","11,346"
"Washington borough,   New Jersey","7,375"
"Watchung borough,   New Jersey","6,606"
"Wenonah borough,   New Jersey","2,328"
"West Cape May borough,   New Jersey",995
"Westfield,  New Jersey","32,050"
"West Long Branch borough,   New Jersey","8,604"
"West New York,  New Jersey","52,975"
"Westville borough,   New Jersey","4,350"
"West Wildwood borough,   New Jersey",536
"Westwood borough,   New Jersey","11,434"
"Wharton borough,   New Jersey","7,444"
"Wildwood,  New Jersey","5,098"
"Wildwood Crest borough,   New Jersey","3,036"
"Woodbine borough,   New Jersey","2,122"
"Woodbury,  New Jersey","10,138"
"Woodbury Heights borough,   New Jersey","3,155"
"Woodcliff Lake borough,   New Jersey","6,234"
"Woodland Park borough,   New Jersey","13,477"
"Woodlynne borough,   New Jersey","2,941"
"Wood-Ridge borough,   New Jersey","10,397"
"Woods borough,   New Jersey","3,757"
"Wrights borough,   New Jersey",731
"Alamogordo,  New Mexico","31,667"
"Albuquerque,  New Mexico","560,326"
"Angel Fire village,   New Mexico","1,183"
"Anthony,  New Mexico","8,910"
"Artesia,  New Mexico","12,550"
"Aztec,  New Mexico","6,129"
"Bayard,  New Mexico","2,070"
"Belen,  New Mexico","7,556"
"Bernalillo,  New Mexico","9,159"
"Bloomfield,  New Mexico","7,363"
"Bosque Farms village,   New Mexico","4,138"
"Capitan village,   New Mexico","1,409"
"Carlsbad,  New Mexico","31,999"
"Carrizozo,  New Mexico",968
"Causey village,   New Mexico",69
"Chama village,   New Mexico",913
"Cimarron village,   New Mexico",794
"Clayton,  New Mexico","2,559"
"Cloudcroft village,   New Mexico",756
"Clovis,  New Mexico","37,555"
"Columbus village,   New Mexico","1,495"
"Corona village,   New Mexico",127
"Corrales village,   New Mexico","8,530"
"Cuba village,   New Mexico",640
"Deming,  New Mexico","15,272"
"Des Moines village,   New Mexico",111
"Dexter,  New Mexico","1,055"
"Dora village,   New Mexico",114
"Eagle Nest village,   New Mexico",318
"Edgewood,  New Mexico","6,170"
"Elephant Butte,  New Mexico","1,439"
"Elida,  New Mexico",154
"Encino village,   New Mexico",56
"Española,  New Mexico","10,475"
"Estancia,  New Mexico","1,314"
"Eunice,  New Mexico","3,068"
"Farmington,  New Mexico","46,262"
"Floyd village,   New Mexico",86
"Folsom village,   New Mexico",45
"Fort Sumner village,   New Mexico",857
"Gallup,  New Mexico","20,339"
"Grady village,   New Mexico",83
"Grants,  New Mexico","8,880"
"Grenville village,   New Mexico",24
"Hagerman,  New Mexico",961
"Hatch village,   New Mexico","1,590"
"Hobbs,  New Mexico","41,061"
"Hope village,   New Mexico",113
"House village,   New Mexico",54
"Hurley,  New Mexico","1,232"
"Jal,  New Mexico","2,192"
"Jemez Springs village,   New Mexico",204
"Kirtland,  New Mexico",574
"Lake Arthur,  New Mexico",375
"Las Cruces,  New Mexico","116,998"
"Las Vegas,  New Mexico","12,711"
"Logan village,   New Mexico",948
"Lordsburg,  New Mexico","2,203"
"Los Lunas village,   New Mexico","19,907"
"Los Ranchos de Albuquerque village,   New Mexico","5,833"
"Loving village,   New Mexico","1,359"
"Lovington,  New Mexico","11,693"
"Magdalena village,   New Mexico",776
"Maxwell village,   New Mexico",224
"Melrose village,   New Mexico",603
"Mesilla,  New Mexico","1,828"
"Milan village,   New Mexico","2,472"
"Moriarty,  New Mexico","2,059"
"Mosquero village,   New Mexico",95
"Mountainair,  New Mexico",927
"Pecos village,   New Mexico","1,372"
"Peralta,  New Mexico","3,470"
"Portales,  New Mexico","11,789"
"Questa village,   New Mexico","1,801"
"Raton,  New Mexico","6,005"
"Red River,  New Mexico",537
"Reserve village,   New Mexico",310
"Rio Communities,  New Mexico","4,927"
"Rio Rancho,  New Mexico","112,524"
"Roswell,  New Mexico","47,176"
"Roy village,   New Mexico",188
"Ruidoso village,   New Mexico","7,640"
"Ruidoso Downs,  New Mexico","2,627"
"San Jon village,   New Mexico",185
"Santa Clara village,   New Mexico","1,613"
"Santa Fe,  New Mexico","90,551"
"Santa Rosa,  New Mexico","2,824"
"San Ysidro village,   New Mexico",171
"Silver ,  New Mexico","9,399"
"Socorro,  New Mexico","8,348"
"Springer,  New Mexico",929
"Sunland Park,  New Mexico","18,185"
"Taos,  New Mexico","6,453"
"Taos Ski Valley village,   New Mexico",82
"Tatum,  New Mexico",712
"Texico,  New Mexico",926
"Tijeras village,   New Mexico",460
"Truth or Consequences,  New Mexico","5,942"
"Tucumcari,  New Mexico","5,058"
"Tularosa village,   New Mexico","2,632"
"Vaughn,  New Mexico",275
"Virden village,   New Mexico",120
"Wagon Mound village,   New Mexico",263
"Willard village,   New Mexico",216
"Williamsburg village,   New Mexico",460
"Adams village,   New York","1,671"
"Addison village,   New York","1,558"
"Afton village,   New York",785
"Airmont village,   New York","10,380"
"Akron village,   New York","2,886"
"Albany,  New York","101,317"
"Albion village,   New York","5,704"
"Alden village,   New York","2,764"
"Alexander village,   New York",491
"Alexandria Bay village,   New York",942
"Alfred village,   New York","5,471"
"Allegany village,   New York","1,608"
"Almond village,   New York",396
"Altamont village,   New York","1,651"
"Ames village,   New York",140
"Amityville village,   New York","9,718"
"Amsterdam,  New York","18,169"
"Andover village,   New York",891
"Angelica village,   New York",707
"Angola village,   New York","2,026"
"Antwerp village,   New York",512
"Arcade village,   New York","1,920"
"Ardsley village,   New York","4,974"
"Argyle village,   New York",292
"Arkport village,   New York",766
"Asharoken village,   New York",608
"Athens village,   New York","1,577"
"Atlantic Beach village,   New York","1,713"
"Attica village,   New York","2,442"
"Auburn,  New York","25,963"
"Aurora village,   New York",623
"Avoca village,   New York",832
"Avon village,   New York","3,440"
"Babylon village,   New York","12,193"
"Bainbridge village,   New York","1,252"
"Baldwinsville village,   New York","7,662"
"Ballston Spa village,   New York","4,930"
"Barker village,   New York",570
"Batavia,  New York","15,071"
"Bath village,   New York","5,512"
"Baxter Estates village,   New York","1,012"
"Bayville village,   New York","6,739"
"Beacon,  New York","15,292"
"Bellerose village,   New York","1,173"
"Belle Terre village,   New York",788
"Bellport village,   New York","2,211"
"Belmont village,   New York",834
"Bemus Point village,   New York",304
"Bergen village,   New York","1,210"
"Binghamton,  New York","46,773"
"Black River village,   New York","1,236"
"Blasdell village,   New York","2,557"
"Bloomfield village,   New York","1,335"
"Bloomingburg village,   New York",978
"Bolivar village,   New York","1,001"
"Boonville village,   New York","2,005"
"Brewster village,   New York","2,504"
"Briarcliff Manor village,   New York","7,440"
"Brightwaters village,   New York","3,187"
"Broadalbin village,   New York","1,334"
"Brockport village,   New York","7,489"
"Brocton village,   New York","1,305"
"Bronxville village,   New York","6,479"
"Brookville village,   New York","2,924"
"Brownville village,   New York",928
"Brushton village,   New York",435
"Buchanan village,   New York","2,240"
"Buffalo,  New York","276,617"
"Burdett village,   New York",323
"Burke village,   New York",165
"Caledonia village,   New York","2,086"
"Cambridge village,   New York","1,801"
"Camden village,   New York","2,149"
"Camillus village,   New York","1,274"
"Canajoharie village,   New York","2,064"
"Canandaigua,  New York","10,476"
"Canaseraga village,   New York",454
"Canastota village,   New York","4,435"
"Candor village,   New York",752
"Canisteo village,   New York","2,162"
"Canton village,   New York","6,957"
"Cape Vincent village,   New York",727
"Carthage village,   New York","3,257"
"Cassadaga village,   New York",556
"Castile village,   New York",986
"Castleton-on-Hudson village,   New York","1,471"
"Castorland village,   New York",340
"Cato village,   New York",526
"Catskill village,   New York","3,723"
"Cattaraugus village,   New York",959
"Cayuga village,   New York",541
"Cayuga Heights village,   New York","3,949"
"Cazenovia village,   New York","2,730"
"Cedarhurst village,   New York","7,324"
"Celoron village,   New York","1,054"
"Central Square village,   New York","1,848"
"Centre Island village,   New York",395
"Champlain village,   New York","1,132"
"Chateaugay village,   New York",746
"Chatham village,   New York","1,547"
"Chaumont village,   New York",595
"Cherry Valley village,   New York",478
"Chester village,   New York","4,008"
"Chestnut Ridge village,   New York","10,746"
"Chittenango village,   New York","4,780"
"Churchville village,   New York","2,184"
"Clayton village,   New York","1,689"
"Clayville village,   New York",336
"Cleveland village,   New York",730
"Clifton Springs village,   New York","2,168"
"Clinton village,   New York","1,639"
"Clyde village,   New York","2,126"
"Cobleskill village,   New York","4,533"
"Cohocton village,   New York",713
"Cohoes,  New York","18,530"
"Cold Brook village,   New York",261
"Cold Spring village,   New York","1,995"
"Colonie village,   New York","7,691"
"Constableville village,   New York",302
"Coopers village,   New York","1,844"
"Copenhagen village,   New York",660
"Corfu village,   New York",689
"Corinth village,   New York","2,638"
"Corning,  New York","10,605"
"Cornwall-on-Hudson village,   New York","3,006"
"Cortland,  New York","17,459"
"Cove Neck village,   New York",293
"Coxsackie village,   New York","2,686"
"Croghan village,   New York",640
"Croton-on-Hudson village,   New York","8,232"
"Cuba village,   New York","1,504"
"Dannemora village,   New York","2,384"
"Dansville village,   New York","4,345"
"Deferiet village,   New York",256
"Delanson village,   New York",309
"Delevan village,   New York","1,028"
"Delhi village,   New York","3,362"
"Depew village,   New York","14,910"
"Deposit village,   New York","1,413"
"Dering Harbor village,   New York",37
"DeRuyter village,   New York",418
"Dexter village,   New York","1,011"
"Dobbs Ferry village,   New York","11,513"
"Dolgeville village,   New York","2,015"
"Dresden village,   New York",292
"Dryden village,   New York","1,877"
"Dundee village,   New York","1,682"
"Dunkirk,  New York","12,379"
"Earlville village,   New York",771
"East Aurora village,   New York","5,986"
"East Hampton village,   New York","1,556"
"East Hills village,   New York","7,295"
"East Nassau village,   New York",516
"East Rochester village,   New York","6,139"
"East Rockaway village,   New York","10,064"
"East Syracuse village,   New York","3,008"
"East Williston village,   New York","2,613"
"Elba village,   New York",590
"Elbridge village,   New York",957
"Ellenville village,   New York","4,180"
"Ellicottville village,   New York",282
"Ellisburg village,   New York",211
"Elmira,  New York","26,255"
"Elmira Heights village,   New York","3,764"
"Elmsford village,   New York","5,168"
"Endicott village,   New York","13,199"
"Esperance village,   New York",352
"Evans Mills village,   New York",613
"Fabius village,   New York",324
"Fair Haven village,   New York",771
"Fairport village,   New York","5,341"
"Falconer village,   New York","2,228"
"Farmingdale village,   New York","8,553"
"Farnham village,   New York",363
"Fayetteville village,   New York","4,180"
"Fishkill village,   New York","2,146"
"Fleischmanns village,   New York",226
"Floral Park village,   New York","15,966"
"Florida village,   New York","2,868"
"Flower Hill village,   New York","4,836"
"Fonda village,   New York",691
"Fort Ann village,   New York",472
"Fort Edward village,   New York","3,138"
"Fort Johnson village,   New York",430
"Fort Plain village,   New York","2,002"
"Frankfort village,   New York","2,292"
"Franklin village,   New York",273
"Franklinville village,   New York","1,644"
"Fredonia village,   New York","9,295"
"Freeport village,   New York","44,028"
"Freeville village,   New York",454
"Fulton,  New York","11,234"
"Fultonville village,   New York",783
"Gainesville village,   New York",221
"Galway village,   New York",157
"Garden  village,   New York","22,993"
"Geneseo village,   New York","7,722"
"Geneva,  New York","12,397"
"Gilbertsville village,   New York",328
"Glen Cove,  New York","28,088"
"Glen Park village,   New York",445
"Glens Falls,  New York","14,455"
"Gloversville,  New York","14,894"
"Goshen village,   New York","5,760"
"Gouverneur village,   New York","3,587"
"Gowanda village,   New York","2,474"
"Grand View-on-Hudson village,   New York",274
"Granville village,   New York","2,420"
"Great Neck village,   New York","11,075"
"Great Neck Estates village,   New York","3,117"
"Great Neck Plaza village,   New York","7,824"
"Greene village,   New York","1,424"
"Green Island village,   New York","2,971"
"Greenport village,   New York","2,591"
"Greenwich village,   New York","1,669"
"Greenwood Lake village,   New York","2,987"
"Groton village,   New York","2,127"
"Hagaman village,   New York","1,118"
"Hamburg village,   New York","9,835"
"Hamilton village,   New York","4,037"
"Hammond village,   New York",282
"Hammondsport village,   New York",571
"Hancock village,   New York",890
"Hannibal village,   New York",538
"Harriman village,   New York","2,607"
"Harrison village,   New York","31,321"
"Hastings-on-Hudson village,   New York","8,407"
"Haverstraw village,   New York","12,445"
"Head of the Harbor village,   New York","1,475"
"Hempstead village,   New York","59,569"
"Herkimer village,   New York","7,254"
"Heuvelton village,   New York",707
"Hewlett Bay Park village,   New York",475
"Hewlett Harbor village,   New York","1,324"
"Hewlett Neck village,   New York",566
"Highland Falls village,   New York","3,648"
"Hillburn village,   New York",935
"Hilton village,   New York","5,975"
"Hobart village,   New York",387
"Holland Patent village,   New York",395
"Holley village,   New York","1,726"
"Homer village,   New York","3,076"
"Honeoye Falls village,   New York","2,817"
"Hoosick Falls village,   New York","3,190"
"Hornell,  New York","8,078"
"Horseheads village,   New York","6,343"
"Hudson,  New York","5,735"
"Hudson Falls village,   New York","7,359"
"Hunter village,   New York",409
"Huntington Bay village,   New York","1,445"
"Ilion village,   New York","7,559"
"Interlaken village,   New York",616
"Irvington village,   New York","6,502"
"Islandia village,   New York","3,651"
"Island Park village,   New York","5,019"
"Ithaca,  New York","33,768"
"James,  New York","27,699"
"Jeffersonville village,   New York",391
"Johnson  village,   New York","14,698"
"Johns,  New York","8,027"
"Jordan village,   New York","1,208"
"Kaser village,   New York","5,970"
"Kenmore village,   New York","14,936"
"Kensington village,   New York","1,204"
"Kinderhook village,   New York","1,148"
"Kings Point village,   New York","5,680"
"Kingston,  New York","23,748"
"Kiryas Joel village,   New York","43,863"
"Lackawanna,  New York","19,629"
"Lacona village,   New York",673
"Lake George village,   New York","1,007"
"Lake Grove village,   New York","11,109"
"Lake Placid village,   New York","2,302"
"Lake Success village,   New York","2,830"
"Lakewood village,   New York","2,933"
"Lancaster village,   New York","10,094"
"Lansing village,   New York","3,893"
"Larchmont village,   New York","6,640"
"Latting village,   New York","1,875"
"Laurel Hollow village,   New York","1,945"
"Laurens village,   New York",219
"Lawrence village,   New York","6,807"
"Leicester village,   New York",460
"Le Roy village,   New York","4,269"
"Lewiston village,   New York","2,497"
"Liberty village,   New York","5,136"
"Lima village,   New York","2,103"
"Lindenhurst village,   New York","27,160"
"Lisle village,   New York",326
"Little Falls,  New York","4,527"
"Little Valley village,   New York","1,073"
"Liverpool village,   New York","2,257"
"Livonia village,   New York","1,467"
"Lloyd Harbor village,   New York","3,565"
"Lockport,  New York","20,394"
"Lodi village,   New York",280
"Long Beach,  New York","34,777"
"Lowville village,   New York","3,336"
"Lynbrook village,   New York","20,684"
"Lyndonville village,   New York",777
"Lyons Falls village,   New York",596
"McGraw village,   New York",977
"Madison village,   New York",311
"Malone village,   New York","5,373"
"Malverne village,   New York","8,464"
"Mamaroneck village,   New York","19,783"
"Manchester village,   New York","1,630"
"Manlius village,   New York","4,611"
"Mannsville village,   New York",320
"Manorhaven village,   New York","6,997"
"Marathon village,   New York",883
"Marcellus village,   New York","1,774"
"Margaretville village,   New York",492
"Massapequa Park village,   New York","16,922"
"Massena village,   New York","9,998"
"Matinecock village,   New York",854
"Maybrook village,   New York","3,141"
"Mayfield village,   New York",778
"Mayville village,   New York","1,441"
"Mechanicville,  New York","5,083"
"Medina village,   New York","5,912"
"Menands village,   New York","4,501"
"Meridian village,   New York",285
"Mexico village,   New York","1,557"
"Middleburgh village,   New York","1,161"
"Middleport village,   New York","1,688"
"Middle,  New York","30,188"
"Middleville village,   New York",431
"Milford village,   New York",394
"Millbrook village,   New York","1,445"
"Millerton village,   New York",886
"Mill Neck village,   New York","1,008"
"Millport village,   New York",275
"Mineola village,   New York","21,305"
"Minoa village,   New York","3,657"
"Mohawk village,   New York","2,376"
"Monroe village,   New York","9,502"
"Montebello village,   New York","4,723"
"Montgomery village,   New York","3,781"
"Monticello village,   New York","7,228"
"Montour Falls village,   New York","1,527"
"Moravia village,   New York","1,241"
"Morris village,   New York",517
"Morrisville village,   New York","1,734"
"Mount Kisco village,   New York","10,698"
"Mount Morris village,   New York","2,847"
"Mount Vernon,  New York","71,999"
"Munnsville village,   New York",444
"Munsey Park village,   New York","2,778"
"Mutton village,   New York","3,528"
"Naples village,   New York",954
"Nassau village,   New York","1,091"
"Nelliston village,   New York",572
"Nelsonville village,   New York",631
"Newark village,   New York","8,932"
"Newark Valley village,   New York",896
"New Berlin village,   New York",908
"Newburgh,  New York","28,181"
"New Hartford village,   New York","1,866"
"New Hempstead village,   New York","5,515"
"New Hyde Park village,   New York","10,220"
"New Paltz village,   New York","8,646"
"Newport village,   New York",556
"New Rochelle,  New York","85,512"
"New Square village,   New York","9,973"
"New York,  New York","8,478,072"
"New York Mills village,   New York","3,197"
"Niagara Falls,  New York","47,512"
"Nichols village,   New York",454
"Nissequogue village,   New York","1,625"
